x,y,topic
5.276337,-4.911275,0
5.287293,-7.528907,1
4.025175,-4.6320205,2
3.1115272,-6.6202483,3
5.9052105,-6.1880016,4
4.303914,-5.3742805,5
4.6596527,-5.905369,6
3.6914032,-5.9881034,7
4.7716727,-7.859067,8
4.729428,-4.9007225,9
2.8529363,-5.4429655,10
5.082463,-5.7305746,11
4.7428284,-7.1874447,12
3.3762095,-4.5188503,13
2.8571622,-4.9057856,14
3.9354815,-6.506486,15
5.2763176,-6.47892,16
3.3695111,-5.1779804,17
4.594889,-6.7496343,18
5.622223,-5.8027334,19
3.5014608,-6.829825,20
3.2445352,-7.347897,21
4.111601,-7.551412,22
